위도,경도,역명
37.5704,126.9922,종로3가역
37.571,127.0015,종로5가역
37.5111,127.0738,종합운동장역
37.5621,127.0509,용답역
37.5741,127.0383,용두역
37.5948,127.0757,중랑역
37.316,126.8388,중앙역
37.5284,127.1484,중앙보훈병원역
37.6026,127.0793,중화역
37.5581,126.8606,증미역
37.5837,126.9095,증산역
37.6533,127.0476,창동역
37.5794,127.0153,창신역
37.4869,126.8386,천왕역
37.5385,127.1239,천호역
37.5609,127.0142,청구역
37.5195,127.0537,청담역
37.58,127.0477,청량리역
37.4868,126.9822,총신대입구역
37.5345,126.9943,이태원역
37.484,127.0841,일원역
37.6185,127.0754,태릉입구역
37.6365,127.068,하계역
37.5143,127.0319,학동역
37.4969,127.0712,학여울역
37.5398,127.0018,한강진역
37.5294,127.0092,한남역
37.5884,127.006,한성대입구역
37.5165,127.1164,한성백제역
37.5557,127.0436,한양대역
37.4963,127.0529,한티역
37.5499,126.9145,합정역
37.5574,127.0295,행당역
37.582,127.0019,혜화역
37.5569,126.9238,홍대입구역
37.6451,127.0641,중계역
37.5659,127.0843,중곡역
37.5134,126.9265,대방역
37.4937,127.0795,대청역
37.4945,127.0632,대치역
37.5476,126.9425,대흥역
37.4771,126.9635,낙성대역
37.4863,126.8874,남구로역
37.5614,126.9941,충무로역
37.5598,126.9645,충정로역
37.5888,126.9442,홍제역
37.6341,127.0175,화계역
37.5417,126.8405,화곡역
37.6198,127.0835,화랑대역
37.5898,127.058,회기역
37.5588,126.9784,회현역
37.5393,126.9614,효창공원앞역
37.5092,126.9635,흑석역
37.4933,126.8949,대림역
37.4916,127.0731,대모산입구역
37.5136,126.9409,노량진역
37.6563,127.0634,노원역
37.6008,126.9358,녹번역
37.5347,126.9865,녹사평역
37.6446,127.0514,녹천역
37.5112,127.0217,논현역
37.567,127.0526,답십리역
37.6702,127.0791,당고개역
37.4902,126.9276,당곡역
37.5348,126.9026,당산역
37.4852,127.0162,남부터미널역
37.4848,126.9709,남성역
37.5406,126.9713,남영역
37.4642,126.9891,남태령역
37.5602,126.8247,마곡역
37.5667,126.8274,마곡나루역
37.6652,127.0577,마들역
37.5661,127.043,마장역
37.495,127.1529,마천역
37.5396,126.9459,마포역
37.5635,126.9034,마포구청역
37.5993,127.0924,망우역
37.5561,126.9101,망원역
37.4869,127.0467,매봉역
37.6106,127.0778,먹골역
37.5887,127.0875,면목역
37.561,126.9864,명동역
37.5514,127.144,명일역
37.491,127.0555,도곡역
37.5145,126.8826,도림천역
37.6495,127.0137,4.19민주묘지역
37.5027,126.9785,동작역
37.5277,127.1362,둔촌동역
37.4877,126.9936,내방역
37.5127,126.9531,노들역
37.6792,127.0455,도봉역
37.6895,127.0461,도봉산역
37.5745,126.9579,독립문역
37.6184,126.9331,독바위역
37.466,126.8895,독산역
37.6105,127.0564,돌곶이역
37.5717,127.0106,동대문역
37.5657,127.009,동대문역사문화공원역
37.5591,127.0053,동대입구역
37.5732,127.0164,동묘앞역
37.5776,126.8128,방화역
37.5478,127.0067,버티고개역
37.5194,127.1387,둔촌오륜역
37.5507,126.8656,등촌역
37.576,126.9013,디지털미디어시티역
37.5472,127.0474,뚝섬역
37.5344,126.9729,삼각지역
37.5088,127.063,삼성역
37.5261,126.8646,목동역
37.5178,127.1129,몽촌토성역
37.5826,126.9502,무악재역
37.518,126.8948,문래역
37.486,127.1225,문정역
37.6267,127.026,미아역
37.6133,127.0301,미아사거리역
37.5082,127.0116,반포역
37.5587,126.8377,발산역
37.4815,126.9976,방배역
37.5088,127.1261,방이역
37.6674,127.0443,방학역
37.5658,126.9666,서대문역
37.5196,126.9884,서빙고역
37.4999,126.9206,보라매역
37.4954,126.9181,보라매공원역
37.493,126.9235,보라매병원역
37.5855,127.02,보문역
37.4707,127.1267,복정역
37.5143,127.0602,봉은사역
37.4825,126.9417,봉천역
37.6174,127.0914,봉화산역
37.6121,127.0083,북한산보국문역
37.6629,127.0128,북한산우이역
37.61,126.9303,불광역
37.5809,127.0885,사가정역
37.4766,126.9816,사당역
37.5042,127.0153,사평역
37.656,127.0133,솔밭공원역
37.6203,127.0136,솔샘역
37.513,127.053,삼성중앙역
37.6269,127.0182,삼양역
37.6213,127.0205,삼양사거리역
37.5045,127.0874,삼전역
37.6607,127.0734,상계역
37.5029,126.9479,상도역
37.5969,127.0857,상봉역
37.5478,126.9224,상수역
37.5644,127.0293,상왕십리역
37.6066,127.0488,상월곡역
37.5567,127.1659,상일동역
37.5909,126.9136,새절역
37.5174,126.9284,샛강역
37.5521,126.9355,서강대역
37.5698,127.0471,신답역
37.5657,127.0195,신당역
37.472,126.934,서울대벤처타운역
37.4813,126.9527,서울대입구역
37.5436,127.0447,서울숲역
37.5541,126.9707,서울역
37.5061,126.9227,서울지방병무청역
37.4918,127.0077,서초역
37.615,127.0657,석계역
37.5054,127.107,석촌역
37.5025,127.0965,석촌고분역
37.5045,127.049,선릉역
37.5382,126.8933,선유도역
37.5109,127.0436,선정릉역
37.5446,127.0561,성수역
37.593,127.0171,성신여대입구역
37.5001,126.9098,신풍역
37.6485,127.0347,쌍문역
37.4997,127.1122,송파역
37.511,127.1127,송파나루역
37.6779,127.0554,수락산역
37.5808,126.8957,수색역
37.4855,127.1044,수서역
37.6379,127.0255,수유역
37.5446,126.9721,숙대입구역
37.4963,126.9536,숭실대입구역
37.5653,126.9772,시청역
37.5545,127.0205,신금호역
37.5168,126.9184,신길역
37.6125,127.1043,신내역
37.5048,127.0255,신논현역
37.5256,126.8864,양평역
37.548,127.0747,어린이대공원역
37.4877,126.9135,신대방역
37.4998,126.9282,신대방삼거리역
37.5089,126.8913,신도림역
37.4843,126.9297,신림역
37.5443,126.8831,신목동역
37.5035,126.9961,신반포역
37.5675,126.8172,신방화역
37.5164,127.0203,신사역
37.576,127.0245,신설동역
37.5293,126.968,신용산역
37.6018,127.0674,신이문역
37.525,126.8561,신정역
37.5202,126.8529,신정네거리역
37.5552,126.937,신촌역
37.492,126.8238,온수역
37.5163,127.131,올림픽공원역
37.5522,127.0896,아차산역
37.5574,126.9561,아현역
37.5765,126.9854,안국역
37.5863,127.0292,안암역
37.5502,127.1275,암사역
37.5572,127.1376,암사역사공원역
37.5265,127.0285,압구정역
37.5275,127.0406,압구정로데오역
37.5534,126.9567,애오개역
37.5545,127.0109,약수역
36.9638,129.0913,양원역
37.4846,127.0342,양재역
37.5124,126.8657,양천구청역
37.5681,126.842,양천향교역
37.5985,126.9155,응암역
37.5568,126.9464,이대역
37.5073,127.034,언주역
37.5271,126.933,여의나루역
37.5218,126.9244,여의도역
37.5007,127.0365,역삼역
37.6062,126.9228,역촌역
37.6192,126.9211,연신내역
37.547,126.8749,염창역
37.5157,126.9079,영등포역
37.5258,126.8967,영등포구청역
37.5227,126.9052,영등포시장역
37.5021,127.128,오금역
37.4944,126.8448,오류동역
37.5245,126.8753,오목교역
37.5416,127.0174,옥수역
37.5702,126.9832,종각역
37.5613,127.0371,왕십리역
37.5963,127.0637,외대앞역
37.5737,127.0867,용마산역
37.5301,126.9648,용산역
37.5488,126.8363,우장산역
37.6333,127.0589,월계역
37.6018,127.0415,월곡역
37.5696,126.8991,월드컵경기장역
37.5663,126.991,을지로3가역
37.5666,126.9976,을지로4가역
37.566,126.9822,을지로입구역
37.55,127.0345,응봉역
37.4868,126.9822,이수역
37.5224,126.9735,이촌역
37.5316,127.0668,자양역
37.5133,127.1002,잠실역
37.5207,127.1038,잠실나루역
37.5116,127.0863,잠실새내역
37.5129,127.0114,잠원역
37.5049,126.9391,장승배기역
37.4786,127.1262,장지역
37.5616,127.0637,장한평역
37.6026,127.0135,정릉역
37.5782,127.0349,제기동역
37.4931,127.1183,가락시장역
37.4804,126.8827,가산디지털단지역
37.5614,126.8544,가양역
37.6415,127.0168,가오리역
37.5688,126.9148,가좌역
37.6702,127.0791,불암산역
37.5316,127.0668,뚝섬유원지역
